Total Packets	Time	Avg packet/sec	Avg packet size	Total bytes	Avg bytes/sec	RST Cnt	Src IPs	Dest IPs	Legitimate
559	92.373	6.052	419.902	234725	2541.06	3	13	13	1
149	90.138	1.653	197.148	29375	325.89	3	12	12	1
471	48	9	331	156058	3251	1	20	21	1
2478	55	45	717	1778012	32327	9	26	27	1
898	47	19	428	385036	8192	10	26	26	1
2473	55	44	718	1777462	32317	9	24	27	1
699	80	8	432	302188	3777	3	25	25	1
753	29	25	443	333833	11511	4	24	24	1
471	48	9	331	156058	3251	1	20	21	1
59	255	0	159	9401	36	0	4	4	1
373	23	16	361	134897	5865	0	18	21	1
241	17	14	315	76151	4479	12	8	18	1
147	56	2	61	9040	161	18	7	7	1
973	12	81	675	657610	54800	0	4	4	1
99	229	0	215	21353	93	0	6	6	1
288	6	48	928	267511	44585	1	3	3	0
2559	280	9	928	2375501	8483	4	5	5	0
1325	276	4	665	881995	3195	0	12	12	0
1176	2139	0	886	1042768	487	3	6	7	0
306	103	2	842	257687	2501	2	4	4	0
278	74	3	818	227418	3073	3	4	4	0
276	94	2	820	226337	2407	1	4	4	0
401	130	3	701	281428	2164	2	4	4	0
485	24	20	856	415352	17306	1	4	4	0
308	73	4	906	279150	3823	2	5	5	0
3322	254	13	127	424527	1671	1	4	1028	0
117	103	1	662	77462	752	3	6	6	0
3525	138	25	182	643407	4662	1	4	1028	0
3421	284	12	155	530825	1869	1	4	1028	0
3358	125	26	163	549966	4399	1	4	1028	0
3350	155	21	138	463428	2989	1	4	1028	0
3688	107	34	160	591826	5531	1	4	1092	0
3858	214	18	211	814231	3804	2	4	1092	0
4273	163	26	271	1160535	7119	5	4	1092	0
2117	187	11	232	491307	2627	1	4	580	0
2333	127	18	322	753156	5930	3	4	548	0
1664	200	8	305	507808	2539	1	5	581	0
245	21	11	694	170210	8105	0	3	3	0
2543	36	70	181	462311	12841	1	4	1092	0
2559	35	73	202	517235	14778	1	4	1092	0
184	79	2	845	155581	1969	1	4	4	0
124	120	1	772	95791	798	1	4	4	0
408	370	1	894	364753	985	0	4	4	0
355	231	1	961	341361	1477	0	4	4	0
3322	254	13	127	424527	1671	1	4	1028	0
384	216	1	955	366773	1698	0	4	4	0
181	120	1	842	152538	1271	1	4	4	0
247	120	2	991	244876	2040	1	4	4	0
228	21	10	1012	230872	10993	0	4	4	0
209	95	2	854	178546	1879	2	4	4	0
253	39	6	886	224221	5749	1	4	4	0
117	103	1	662	77462	752	3	6	6	0
12106	909	13	672	8144439	8959	1524	1456	1582	0
7132	14	509	948	6764082	483148	0	4	4	0
3982	120	33	866	3450208	28751	0	4	4	0
331	238	1	897	297157	1248	1	5	5	0
434	623	0	709	307902	494	2	5	5	0
149	125	1	736	109753	878	0	5	5	0
220	6	36	1068	235044	39174	1	3	3	0
254	15	16	945	240191	16012	1	3	3	0
273	55	4	905	247332	4496	1	4	4	0
405	161	2	821	332687	2066	2	9	9	0
